"Price","Brand","Body","Mileage","EngineV","Engine.Type","Registration","Year"
4300,"Audi","sedan",267,1.9,"Diesel","no",2003
3000,"Audi","sedan",267,2.5,"Diesel","no",1999
8700,"Mercedes-Benz","sedan",240,2.2,"Diesel","yes",2000
9000,"Renault","vagon",178,2,"Petrol","yes",2008
20400,"Mercedes-Benz","sedan",190,1.8,"Gas","yes",2011
9000,"BMW","sedan",175,3,"Petrol","no",2006
13400,"Mercedes-Benz","sedan",105,1.8,"Petrol","yes",2006
3700,"Volkswagen","sedan",195,1.9,"Diesel","no",2001
9850,"Volkswagen","van",126,2,"Diesel","yes",2012
3700,"Audi","hatch",420,2,"Diesel","no",2004
15700,"Toyota","crossover",195,4,"Gas","yes",2003
24500,"Mercedes-Benz","sedan",180,2.2,"Diesel","yes",2012
7500,"Mitsubishi","sedan",195,1.6,"Gas","yes",2007
11990,"Volkswagen","van",231,2.5,"Diesel","yes",2002
13708.5,"Volkswagen","hatch",51,1.4,"Petrol","yes",2014
8200,"BMW","sedan",287,2.5,"Gas","yes",1999
6999,"Renault","van",222,1.5,"Diesel","yes",2009
6750,"Renault","vagon",214,1.5,"Diesel","yes",2004
18500,"Audi","sedan",245,3,"Diesel","yes",2006
14299,"Toyota","sedan",83,2,"Petrol","yes",2009
28500,"Mercedes-Benz","crossover",210,3.2,"Diesel","yes",2007
17000,"Mitsubishi","crossover",89,3.8,"Petrol","yes",2008
25700,"Mercedes-Benz","crossover",130,4.7,"Gas","yes",2008
2650,"Audi","vagon",333,2.5,"Diesel","no",2000
8500,"Mitsubishi","sedan",116,1.5,"Petrol","yes",2008
4000,"Mercedes-Benz","sedan",405,2,"Diesel","yes",1992
11000,"Renault","other",131,1.5,"Diesel","yes",2011
14500,"Mercedes-Benz","sedan",138,2,"Petrol","yes",2007
4099,"BMW","sedan",50,2.5,"Petrol","yes",1991
31500,"Volkswagen","crossover",1,2,"Petrol","yes",2014
4500,"Renault","van",207,1.5,"Diesel","yes",2003
6700,"Volkswagen","other",207,1.9,"Diesel","yes",2004
20800,"Mitsubishi","crossover",31,2.4,"Petrol","yes",2011
40990.279936,"Mercedes-Benz","crossover",0,2.98,"Diesel","yes",2016
3500,"BMW","sedan",334,2,"Diesel","no",1999
39000,"Audi","sedan",18,1.8,"Other","yes",2015
13500,"Toyota","crossover",150,4.7,"Gas","yes",2002
6150,"Mitsubishi","sedan",175,1.6,"Petrol","yes",2007
40990.1679616,"BMW","crossover",76,4.4,"Petrol","yes",2010
4900,"BMW","sedan",295,2,"Petrol","yes",1994
40990.10077696,"BMW","other",5,2,"Petrol","yes",2014
19200,"Toyota","crossover",190,2.7,"Gas","yes",2005
11100,"Mitsubishi","crossover",119,2.4,"Gas","yes",2008
8200,"Mitsubishi","sedan",139,1.5,"Other","yes",2012
10300,"Volkswagen","sedan",235,2,"Petrol","yes",2007
11990,"Renault","van",210,1.1,"Diesel","yes",2010
40990.060466176,"BMW","sedan",33,2,"Diesel","yes",2014
1500,"Volkswagen","other",260,1.8,"Gas","no",1994
6350,"BMW","crossover",156,4.4,"Gas","no",2002
8900,"Mercedes-Benz","hatch",155,1.5,"Petrol","yes",2005
12700,"Mercedes-Benz","van",160,3,"Diesel","yes",2007
8000,"Mitsubishi","sedan",207,1.6,"Gas","yes",2007
29500,"Toyota","crossover",63,4,"Petrol","yes",2008
7100,"Renault","van",208,1.5,"Diesel","yes",2008
10850,"Renault","crossover",103,2.5,"Gas","yes",2010
40990.0362797056,"Toyota","crossover",0,4.5,"Diesel","yes",2016
27000,"Volkswagen","sedan",57,2,"Diesel","yes",2013
18100,"Volkswagen","other",64,2,"Petrol","yes",2011
27000,"BMW","sedan",137,4.7,"Other","yes",2005
8990,"BMW","other",300,2.2,"Petrol","yes",2002
32900,"Toyota","crossover",82,2.7,"Petrol","yes",2013
25500,"BMW","other",163,4.8,"Petrol","yes",2008
8900,"Toyota","crossover",153,2,"Petrol","yes",2003
11950,"Audi","sedan",190,3,"Petrol","yes",2006
22700,"Mercedes-Benz","sedan",125,2.2,"Diesel","yes",2010
600,"Audi","sedan",112,1.6,"Petrol","yes",1991
13000,"BMW","sedan",165,2.2,"Gas","yes",2003
25000,"Audi","other",60,2,"Petrol","yes",2011
26900,"Toyota","crossover",119,4,"Gas","yes",2008
40990.0217678234,"Mercedes-Benz","van",0,2.2,"Diesel","yes",2016
6000,"Volkswagen","van",200,2,"Diesel","yes",2008
9800,"Audi","vagon",257,2.5,"Diesel","yes",2003
13900,"Audi","other",197,2,"Diesel","yes",2006
12200,"Renault","van",164,2.5,"Diesel","yes",2009
13500,"Mercedes-Benz","crossover",205,2.7,"Diesel","yes",2005
18100,"BMW","crossover",200,4.8,"Petrol","yes",2005
33000,"BMW","crossover",200,3,"Diesel","yes",2010
16900,"Volkswagen","crossover",145,1.4,"Petrol","yes",2011
22000,"Mercedes-Benz","sedan",110,1.8,"Petrol","yes",2011
10700,"Volkswagen","sedan",195,3.2,"Petrol","yes",2007
7800,"Mercedes-Benz","sedan",226,2.2,"Diesel","yes",2000
17300,"Mercedes-Benz","sedan",184,1.8,"Gas","yes",2008
40990.013060694,"BMW","sedan",16,3,"Diesel","yes",2014
2200,"Volkswagen","hatch",118,1.4,"Petrol","no",2001
8900,"BMW","sedan",256,2.2,"Petrol","yes",2002
31600,"Mercedes-Benz","sedan",33,1.6,"Petrol","yes",2013
7900,"Volkswagen","other",168,1.9,"Diesel","yes",2006
28500,"Toyota","crossover",97,3.5,"Petrol","yes",2012
6900,"Renault","van",140,1.5,"Diesel","yes",2012
8850,"BMW","vagon",280,2.5,"Diesel","yes",2000
3100,"Renault","van",164,1.4,"Petrol","yes",1999
8900,"BMW","sedan",250,2.5,"Petrol","yes",2000
6100,"Renault","sedan",130,1.4,"Petrol","yes",2005
1400,"BMW","sedan",260,1.8,"Petrol","no",1996
8800,"Volkswagen","van",93,1.6,"Diesel","yes",2012
10299,"Renault","other",176,2,"Diesel","yes",2013
6500,"Renault","sedan",170,1.6,"Petrol","yes",2004
40990.0078364164,"Mercedes-Benz","other",1,4.7,"Petrol","yes",2015
9100,"Toyota","sedan",151,1.6,"Gas","yes",2007
9950,"Volkswagen","hatch",95,1.4,"Petrol","yes",2010
24500,"Toyota","crossover",260,4.7,"Gas","yes",2003
40990.0047018498,"Audi","crossover",27,3,"Diesel","yes",2013
12900,"Volkswagen","van",290,1.9,"Diesel","yes",2008
8000,"Mercedes-Benz","van",250,2.2,"Diesel","yes",2006
8100,"Mitsubishi","sedan",112,2.4,"Petrol","yes",2007
10100,"Renault","van",164,2,"Diesel","yes",2012
1900,"BMW","sedan",300,2.5,"Diesel","no",1997
10800,"Renault","van",187,2,"Diesel","yes",2012
8000,"Audi","sedan",234,4.2,"Gas","no",2004
15300,"Mercedes-Benz","other",120,2.6,"Petrol","yes",2004
2350,"Volkswagen","hatch",182,1.9,"Diesel","no",1998
38888,"BMW","vagon",5,0.65,"Other","yes",2015
40990.0028211099,"Toyota","crossover",0,4.5,"Diesel","yes",2016
17650,"Volkswagen","sedan",110,1.8,"Petrol","yes",2012
12999,"Volkswagen","van",237,2.5,"Diesel","yes",2005
18500,"Mercedes-Benz","other",90,1.8,"Petrol","yes",2008
9200,"Volkswagen","sedan",195,2,"Petrol","yes",2006
14500,"Volkswagen","sedan",1,1.6,"Other","yes",2016
18000,"Volkswagen","vagon",18,1.6,"Diesel","yes",2011
6800,"Mercedes-Benz","van",250,1.7,"Diesel","yes",2003
20500,"BMW","crossover",73,2,"Petrol","yes",2011
28000,"BMW","other",100,4.7,"Petrol","yes",2005
10650,"Volkswagen","van",130,2,"Diesel","yes",2011
20300,"Volkswagen","other",30,1.4,"Petrol","yes",2013
3000,"Volkswagen","vagon",267,1.9,"Diesel","no",1999
25250,"Toyota","crossover",112,4.5,"Gas","yes",2007
1389,"Mitsubishi","hatch",245,1.3,"Petrol","no",1996
17600,"Mercedes-Benz","sedan",174,4,"Diesel","yes",2005
14200,"Mercedes-Benz","van",180,2.2,"Diesel","yes",2007
13700,"BMW","crossover",270,4.6,"Gas","yes",2004
23900,"Mercedes-Benz","sedan",187,4.7,"Petrol","yes",2007
32000,"Volkswagen","sedan",144,3.6,"Petrol","yes",2013
4599,"BMW","sedan",267,2,"Gas","yes",1991
2350,"Volkswagen","sedan",300,1.9,"Diesel","no",1998
19999,"Audi","vagon",160,2,"Petrol","yes",2010
28900,"BMW","sedan",78,2,"Petrol","yes",2012
3800,"Volkswagen","sedan",300,2.8,"Gas","yes",1996
1800,"Volkswagen","other",300,1.3,"Petrol","yes",1991
40990.0016926659,"Toyota","crossover",1,4.5,"Diesel","yes",2011
9700,"Volkswagen","sedan",201,2,"Petrol","yes",2007
25342.2,"Mitsubishi","other",1,2.5,"Diesel","yes",2016
24900,"Volkswagen","sedan",1,1.6,"Diesel","yes",2016
4999,"Renault","sedan",140,1.4,"Petrol","yes",2011
4700,"BMW","sedan",390,2.5,"Petrol","yes",1991
4999,"Mercedes-Benz","sedan",1,2.8,"Petrol","yes",1997
9299,"Mercedes-Benz","sedan",350,2.7,"Diesel","yes",2000
25000,"Mercedes-Benz","sedan",130,4.7,"Petrol","yes",2007
12900,"Mitsubishi","crossover",148,3,"Gas","yes",2008
9700,"Audi","vagon",189,2.5,"Diesel","yes",2003
10100,"Renault","van",64,2,"Diesel","yes",2014
2800,"BMW","sedan",296,3,"Diesel","no",2001
13500,"Mercedes-Benz","van",350,2.9,"Diesel","yes",2000
8900,"Mitsubishi","hatch",125,1.8,"Petrol","yes",2009
40990.0010155996,"Mercedes-Benz","crossover",0,3,"Diesel","yes",2016
11500,"Mercedes-Benz","sedan",180,3.2,"Gas","yes",2004
36900,"BMW","crossover",82,3,"Petrol","yes",2010
33200,"Toyota","crossover",150,4,"Gas","yes",2010
10200,"Volkswagen","van",253,2.5,"Diesel","yes",2008
16999,"Volkswagen","sedan",0,1.6,"Petrol","yes",2016
10800,"Toyota","sedan",179,3,"Gas","yes",2005
35500,"Mercedes-Benz","other",99,2.99,"Diesel","yes",2011
9900,"Volkswagen","hatch",156,1.6,"Petrol","yes",2007
7900,"Renault","vagon",91,1.5,"Diesel","yes",2008
13900,"Mercedes-Benz","sedan",216,2.2,"Diesel","yes",2007
20000,"Volkswagen","sedan",102,1.8,"Petrol","yes",2011
28500,"Toyota","crossover",38,2.2,"Diesel","yes",2015
7200,"Mitsubishi","sedan",178,1.6,"Petrol","yes",2007
9000,"Mitsubishi","crossover",200,2,"Gas","yes",2006
36500,"Audi","crossover",115,3,"Diesel","yes",2010
8000,"Volkswagen","hatch",41,1,"Petrol","yes",2012
43000,"Audi","other",11,1.8,"Petrol","yes",2015
13700,"Toyota","sedan",48,1.4,"Diesel","yes",2013
7899,"Toyota","sedan",165,1.8,"Gas","yes",2006
13999,"Renault","van",180,2,"Diesel","yes",2012
10500,"Volkswagen","van",176,1.6,"Diesel","yes",2012
5500,"Mercedes-Benz","sedan",100,4.7,"Petrol","yes",2007
20800,"Volkswagen","other",160,2,"Diesel","yes",2012
2500,"Volkswagen","sedan",400,2,"Petrol","yes",1991
32000,"Mercedes-Benz","crossover",176,3.2,"Gas","yes",2003
14500,"Mercedes-Benz","sedan",220,4.7,"Petrol","yes",2004
16900,"Toyota","hatch",20,1.6,"Petrol","yes",2014
13600,"Mercedes-Benz","van",172,2.2,"Diesel","yes",2013
2600,"Audi","vagon",273,2.5,"Diesel","no",1999
12000,"BMW","sedan",237,3,"Diesel","yes",2003
18800,"Volkswagen","vagon",106,1.6,"Diesel","yes",2013
35500,"Toyota","crossover",85,3,"Diesel","yes",2012
29900,"Mercedes-Benz","other",71,4.7,"Petrol","yes",2007
6750,"Renault","other",110,1.5,"Diesel","yes",2012
34900,"BMW","crossover",117,3,"Petrol","yes",2011
7700,"Volkswagen","van",177,1.9,"Diesel","yes",2008
9250,"Renault","vagon",220,1.5,"Diesel","yes",2010
8400,"Renault","hatch",84,1.5,"Diesel","yes",2011
11750,"Toyota","sedan",93,1.6,"Petrol","yes",2013
5800,"Mercedes-Benz","van",368,2.2,"Diesel","yes",2000
5900,"Toyota","crossover",180,3,"Diesel","no",2003
40990.0006093597,"BMW","crossover",87,3,"Diesel","yes",2011
10500,"Volkswagen","van",170,1.6,"Diesel","yes",2013
17900,"Mercedes-Benz","sedan",190,3,"Diesel","yes",2007
9999,"Audi","sedan",190,3,"Petrol","yes",2007
9999,"Audi","sedan",190,2.5,"Diesel","yes",2003
4900,"Renault","van",400,2.5,"Diesel","yes",2000
40990.0003656159,"Volkswagen","crossover",2,3,"Diesel","yes",2016
38300,"Toyota","crossover",130,4.7,"Gas","yes",2009
17700,"Toyota","sedan",30,1.6,"Petrol","yes",2014
600,"Toyota","sedan",10,1.5,"Petrol","yes",1991
40990.0002193695,"Volkswagen","van",50,2,"Diesel","yes",2013
18000,"BMW","crossover",280,3,"Diesel","yes",2005
7600,"Renault","other",125,1.5,"Diesel","yes",2013
6900,"Renault","sedan",68,1.5,"Diesel","yes",2013
15635.1,"Renault","vagon",0,1.5,"Diesel","yes",2016
10550,"Renault","van",195,2,"Diesel","yes",2011
12500,"Volkswagen","van",190,1.9,"Diesel","yes",2008
13000,"Audi","sedan",157,3,"Petrol","yes",2006
7400,"BMW","sedan",285,4.4,"Gas","yes",1997
9500,"Renault","hatch",100,1.5,"Diesel","yes",2009
18800,"Audi","crossover",197,4.2,"Petrol","yes",2007
8000,"Toyota","sedan",176,3,"Petrol","yes",2002
8700,"Volkswagen","vagon",250,1.9,"Diesel","yes",2002
9999,"Mercedes-Benz","crossover",300,3.2,"Petrol","yes",1998
16700,"Volkswagen","sedan",175,2,"Petrol","yes",2011
13900,"Toyota","hatch",90,1.6,"Petrol","yes",2012
18700,"Volkswagen","other",145,2,"Diesel","yes",2011
6200,"Mitsubishi","sedan",152,1.6,"Petrol","yes",2006
3600,"Renault","van",22,1.9,"Diesel","yes",2001
7500,"Renault","vagon",98,1.4,"Petrol","yes",2007
2300,"Renault","van",200,1.9,"Diesel","yes",2002
16900,"Volkswagen","crossover",133,2.5,"Diesel","yes",2007
13499,"Mitsubishi","crossover",116,2.4,"Petrol","yes",2008
5700,"Renault","van",180,1.5,"Diesel","yes",2007
17900,"Mitsubishi","crossover",140,3.8,"Gas","yes",2007
13900,"Volkswagen","other",170,1.9,"Diesel","yes",2006
7950,"Audi","vagon",167,2.5,"Diesel","yes",2000
9700,"BMW","sedan",250,2,"Petrol","yes",2003
7500,"Volkswagen","sedan",240,1.8,"Petrol","yes",2002
19999,"Audi","crossover",117,4.2,"Petrol","yes",2007
9100,"BMW","sedan",230,2,"Gas","yes",2004
13300,"Volkswagen","hatch",73,1.4,"Petrol","yes",2011
21000,"Volkswagen","hatch",22,1.2,"Other","yes",2014
6600,"Audi","sedan",360,1.8,"Petrol","yes",1998
7600,"Audi","vagon",226,3,"Diesel","no",2006
3500,"Mercedes-Benz","hatch",258,1.7,"Diesel","no",2002
3500,"Volkswagen","sedan",3,1.8,"Petrol","yes",1991
17900,"Mercedes-Benz","van",167,2.2,"Diesel","yes",2012
1950,"Renault","vagon",286,1.9,"Diesel","no",2001
7990,"Volkswagen","sedan",90,1.4,"Petrol","yes",2003
6500,"Volkswagen","sedan",320,1.9,"Diesel","yes",2001
3500,"Mitsubishi","sedan",300,2,"Diesel","yes",1996
14100,"Toyota","sedan",113,2.4,"Gas","yes",2009
2999,"Toyota","other",300,1.6,"Petrol","yes",1991
40990.0001316217,"BMW","crossover",70,3,"Diesel","yes",2014
13100,"Toyota","sedan",200,3.5,"Gas","yes",2006
6900,"Volkswagen","sedan",300,1.8,"Petrol","yes",1998
23999,"Volkswagen","sedan",80,2,"Diesel","yes",2014
6990,"Mitsubishi","crossover",225,2.5,"Petrol","yes",1997
13999,"Toyota","sedan",198,2.4,"Gas","yes",2009
7600,"Renault","van",108,1,"Diesel","yes",2013
11100,"Renault","vagon",180,1.5,"Diesel","yes",2012
16500,"Mercedes-Benz","other",260,2.2,"Diesel","yes",2011
40990.000078973,"Mercedes-Benz","crossover",0,4.7,"Petrol","yes",2016
44000,"Mercedes-Benz","other",82,4.7,"Petrol","yes",2010
39900,"Audi","other",12,1.8,"Petrol","yes",2014
20500,"Mercedes-Benz","sedan",173,1.8,"Gas","yes",2011
8000,"BMW","crossover",214,4.4,"Petrol","no",2000
11600,"BMW","sedan",142,2,"Petrol","yes",2005
3500,"Audi","sedan",265,2,"Diesel","yes",1991
11500,"Renault","vagon",170,1.5,"Diesel","yes",2012
13700,"Volkswagen","other",103,2,"Diesel","yes",2011
13700,"Mercedes-Benz","van",198,3.2,"Gas","yes",2006
7700,"Renault","vagon",200,1.5,"Diesel","yes",2007
5800,"Mercedes-Benz","sedan",231,2.2,"Petrol","yes",1994
9500,"Volkswagen","sedan",95,2,"Petrol","yes",2007
24900,"Mercedes-Benz","sedan",140,4.7,"Petrol","yes",2009
40990.0000473838,"Volkswagen","crossover",47,3,"Diesel","yes",2016
6500,"Volkswagen","van",186,2.8,"Petrol","yes",2000
8300,"Mercedes-Benz","sedan",175,3.2,"Diesel","no",2006
12000,"Mitsubishi","crossover",130,3,"Gas","yes",2007
15000,"Mercedes-Benz","crossover",185,3.7,"Gas","yes",2005
8100,"BMW","sedan",246,3,"Diesel","yes",2000
8000,"Renault","sedan",175,2,"Gas","yes",2005
5500,"Mercedes-Benz","van",285,2.3,"Diesel","yes",1999
9600,"Renault","vagon",184,1.5,"Diesel","yes",2011
10800,"BMW","sedan",180,2,"Petrol","yes",2002
10999,"Mercedes-Benz","van",263,2.2,"Diesel","yes",2005
44000,"BMW","crossover",80,3,"Diesel","yes",2012
19200,"Toyota","hatch",54,1.4,"Other","yes",2012
19600,"Mercedes-Benz","van",127,1.8,"Diesel","yes",2013
9000,"Volkswagen","sedan",135,1.6,"Gas","yes",2011
10900,"BMW","sedan",245,3,"Diesel","yes",2003
12900,"Volkswagen","van",180,2,"Diesel","yes",2012
6600,"BMW","sedan",285,2.5,"Petrol","yes",1999
15820.35,"Renault","sedan",0,1.5,"Diesel","yes",2016
10200,"Toyota","sedan",180,2.4,"Petrol","yes",2003
6000,"Mercedes-Benz","sedan",366,3.2,"Gas","yes",1994
3500,"Audi","sedan",1,2,"Other","yes",1991
7800,"Volkswagen","van",380,2.5,"Diesel","yes",1999
35900,"Toyota","crossover",84,3,"Diesel","yes",2013
11700,"Renault","crossover",90,1.5,"Diesel","yes",2011
15200,"Volkswagen","crossover",58,2,"Petrol","yes",2008
2500,"Mercedes-Benz","sedan",111,2.3,"Gas","yes",1992
16800,"Volkswagen","other",164,2,"Diesel","yes",2010
40990.0000284303,"BMW","sedan",128,3,"Diesel","yes",2013
2650,"Mercedes-Benz","sedan",400,2,"Gas","yes",1991
2250,"BMW","sedan",300,2.5,"Petrol","no",1997
9300,"Mercedes-Benz","sedan",270,2.7,"Diesel","yes",2001
11500,"Toyota","van",161,2.5,"Diesel","yes",2002
13000,"BMW","sedan",304,4.4,"Other","yes",2002
7500,"Mercedes-Benz","sedan",319,3.2,"Gas","yes",1997
17999,"Mercedes-Benz","other",38,2,"Petrol","yes",2009
7300,"Renault","vagon",162,1.5,"Diesel","yes",2006
29900,"Toyota","crossover",117,3,"Diesel","yes",2008
4950,"Renault","vagon",170,1.5,"Diesel","yes",2004
36000,"Audi","vagon",40,3,"Diesel","yes",2010
1700,"Audi","sedan",177,1.6,"Petrol","no",1996
12450,"Audi","vagon",1,2,"Diesel","yes",2008
13893.75,"Volkswagen","sedan",0,1.6,"Petrol","yes",2016
40990.0000170582,"Volkswagen","crossover",60,3,"Diesel","yes",2013
35138.29,"Toyota","crossover",0,2,"Petrol","yes",2016
3500,"BMW","sedan",313,2.5,"Diesel","yes",1994
12800,"Mercedes-Benz","other",260,2.7,"Diesel","yes",2005
27000,"Volkswagen","sedan",85,2,"Diesel","yes",2013
14800,"Volkswagen","sedan",143,2,"Diesel","yes",2010
2200,"Renault","other",155,1.6,"Petrol","no",2004
2900,"Volkswagen","van",433,2.4,"Diesel","no",1995
12000,"Audi","sedan",200,4.7,"Petrol","yes",2004
41000,"Volkswagen","crossover",180,3,"Diesel","yes",2013
16300,"Audi","vagon",180,3.2,"Petrol","yes",2006
5300,"Renault","van",145,1.5,"Other","yes",2010
40500,"Mercedes-Benz","sedan",39,2.2,"Diesel","yes",2015
4300,"Mercedes-Benz","van",300,2.2,"Diesel","no",2005
4000,"Volkswagen","crossover",137,2.5,"Diesel","no",2004
9600,"Volkswagen","hatch",132,1.6,"Petrol","yes",2007
18000,"Mitsubishi","crossover",112,3,"Gas","yes",2008
11300,"Renault","vagon",184,1.5,"Diesel","yes",2011
4999,"Volkswagen","hatch",131,1.4,"Petrol","yes",2002
24999,"Mercedes-Benz","sedan",112,2.2,"Diesel","yes",2012
23300,"Toyota","crossover",93,2.7,"Other","yes",2011
14900,"Toyota","crossover",124,4,"Petrol","yes",2006
22800,"Audi","sedan",184,2.7,"Diesel","yes",2010
35500,"Mercedes-Benz","sedan",137,3,"Diesel","yes",2011
15000,"Volkswagen","other",280,2.8,"Diesel","yes",2006
8650,"Toyota","sedan",132,1.6,"Petrol","yes",2008
22400,"Mitsubishi","crossover",96,2.5,"Diesel","yes",2011
10400,"Mitsubishi","sedan",123,2,"Petrol","yes",2009
40990.0000102349,"Mercedes-Benz","crossover",2,4.7,"Petrol","yes",2016
10500,"Audi","vagon",198,4.2,"Gas","yes",2005
11900,"Renault","crossover",68,1.5,"Diesel","yes",2011
36900,"BMW","sedan",17,2,"Petrol","yes",2013
24500,"BMW","crossover",170,3,"Diesel","yes",2006
4700,"Volkswagen","van",400,2.4,"Diesel","yes",1999
18100,"Toyota","hatch",30,1.6,"Petrol","yes",2013
40990.0000061409,"Mercedes-Benz","sedan",47,4.6,"Petrol","yes",2013
10900,"Mercedes-Benz","sedan",217,3.2,"Diesel","yes",2002
7000,"BMW","sedan",280,3,"Petrol","yes",2001
9999,"Volkswagen","vagon",161,2,"Diesel","yes",2008
12300,"Mitsubishi","other",160,2.5,"Diesel","yes",2008
40990.0000036846,"Volkswagen","crossover",0,3,"Diesel","yes",2016
18900,"Volkswagen","other",45,2,"Diesel","yes",2013
6999,"Volkswagen","sedan",248,1.8,"Petrol","yes",2002
10250,"Mercedes-Benz","sedan",261,1.8,"Petrol","yes",2003
3500,"Toyota","sedan",286,1.6,"Petrol","yes",2000
13500,"BMW","crossover",250,3,"Diesel","no",2006
2450,"BMW","sedan",328,2.5,"Diesel","no",1996
7500,"Volkswagen","van",180,2.5,"Diesel","yes",2004
4900,"Volkswagen","vagon",263,2,"Diesel","no",2007
5000,"Mercedes-Benz","vagon",248,2,"Gas","yes",1996
29900,"BMW","crossover",235,3,"Diesel","yes",2009
7000,"Renault","sedan",110,1.4,"Petrol","yes",2012
11800,"Mitsubishi","sedan",1,1.5,"Gas","yes",2010
16500,"Mercedes-Benz","van",223,2.2,"Diesel","yes",2009
5300,"BMW","sedan",147,2.2,"Gas","no",2001
7200,"Mercedes-Benz","van",200,2.2,"Diesel","yes",2004
8500,"Volkswagen","van",230,1.9,"Diesel","yes",2008
39000,"BMW","crossover",180,3,"Diesel","yes",2011
1850,"Volkswagen","vagon",270,1.9,"Diesel","yes",2000
36100,"Audi","sedan",75,3,"Diesel","yes",2011
3149.25,"Mitsubishi","hatch",330,2,"Gas","yes",1993
5800,"Renault","van",159,1.5,"Diesel","yes",2007
6700,"BMW","sedan",370,2,"Petrol","yes",1997
18988.13,"Renault","crossover",0,1.5,"Diesel","yes",2016
28660,"Volkswagen","van",0,1.6,"Diesel","yes",2016
2999,"BMW","sedan",210,2,"Other","no",1999
40990.0000022107,"BMW","crossover",1,2,"Diesel","yes",2016
21500,"Toyota","crossover",135,2,"Gas","yes",2007
40990.0000013265,"BMW","sedan",10,3,"Diesel","yes",2015
